Date,RIPLEY CC Equity,ECL CC Equity,IAM CC Equity,FALAB CC Equity,QUINENC CC Equity,ENELCHIL CC Equity,CHILE CC Equity,CMPC CC Equity,COLBUN CC Equity,COPEC CC Equity,ENTEL CC Equity,ANDINAB CC Equity,CONCHA CC Equity,CAP CC Equity,ITAUCORP CC Equity,BSAN CC Equity,SONDA CC Equity,SECUR CC Equity,BCI CC Equity,VAPORES CC Equity,AGUAS/A CC Equity,PARAUCO CC Equity,CENCOSUD CC Equity,SMU CC Equity,CCU CC Equity,SQM/B CC Equity,ENELAM CC Equity
13-05-2020,200,925.2,624.3,2235,1178,61,67,1696.2,108.21,4870,4779,1850,1200,3838.5,1.89,30.8,442,150,24402.11,19.443,245,1306,920,129.94,5210,17730.19,122
14-05-2020,201.99,950,639.81,2200,1178,61.39,67.9,1720,111.07,4902,4899,1900,1195,3900,1.927,31.89,445.5,153.9,24800.93,19.34,247,1300,971,128,5252,18028.7,120
15-05-2020,208.9,950,645,2124.6,1172.3,61.78,66.5,1676,106.2,4770,4832,1900,1190,4000,1.857,31.4,453.88,161.2,24266.75,19.349,242.53,1300,1010,126.11,5464,17978.46,122.5
18-05-2020,218.13,950,652.45,2200.2,1197.2,62.5,68.35,1770,113.01,4978,5100,1990,1190.1,4185,1.864,32.71,461,157.51,25618.54,19.49,254.9,1330.8,1070,128.86,5500,18842.46,128.5
19-05-2020,216.09,945.01,628,2116,1200,62.49,67.53,1767,118,5050,5063,1920,1215.1,4490,1.844,31.88,469,155,25418.68,19.378,251,1355,1021,134,5430,19013.88,127.25
20-05-2020,228,980.1,641,2185,1200,62.83,68,1779.9,124,5060,4896,1939,1233,4719,1.81,32.08,480.27,152.91,25177.94,19.471,255.6,1391.1,995.1,138,5503,18669.07,128
21-05-2020,228,980.1,641,2185,1200,62.83,68,1779.9,124,5060,4896,1939,1233,4719,1.81,32.08,480.27,152.91,25177.94,19.471,255.6,1391.1,995.1,138,5503,18669.07,128
22-05-2020,219.57,997.98,634.92,2156.3,1200,58.27,66.9,1718,119.77,4930,4925,1906.6,1240,4900,1.761,32.01,484.02,151.5,24540.2,19.321,251.1,1408,991,137.5,5389,18363.66,129.49
25-05-2020,227.18,1010.5,647.22,2160,1200,60.51,67.01,1746,123.29,4902,5060,1900,1225,5200,1.798,32.96,487.76,151.45,24980.8,19.424,251.85,1440,990.01,137.5,5499,18767.58,118.5
26-05-2020,223.98,1010,650,2050,1185,61.41,68.26,1735,125,4919,5100,1920,1189.9,5000,1.798,33.28,480.3,151.92,24620.14,18.843,250,1448,972.01,139,5546.2,19422.73,118
27-05-2020,220.96,985,647.8,2018.7,1180,61,71,1730,126.99,4980,5198,1950,1201.4,4900,1.807,34.3,476.84,149,25790.24,18.459,251.8,1428.9,986,138.24,5700,20293.62,120
28-05-2020,209,965,635,1881,1150,59.4,67.49,1679.1,124.9,4900,4970.1,1926,1174.2,5175,1.788,32.35,478.97,149.8,24890.86,17.991,241.25,1380.1,945,136.3,5665,19999.05,117
29-05-2020,209,945,660,1865,1143.8,59.99,68.01,1630,130.92,5050,5100,1921,1150,5205,1.724,32.6,480,148.29,24619.23,17.522,235.1,1350,935,135,5788,19357.7,116.5
1-06-2020,205.59,964,660.49,1898.5,1125,59.5,69,1640,124.1,5140,5100,1880,1200,5350,1.73,32.3,498.81,149.3,24890.86,17.719,243,1387.7,965.15,136.97,5740,19534.05,119
2-06-2020,210,970.91,662.53,1985,1130.6,60,70,1663,124.5,5340,4999.9,1930,1240,5535,1.807,32.99,502.47,148.8,24982.62,17.86,250.4,1416,1000,137,5900,20136.98,119.3
3-06-2020,228.1,990,683.59,2050,1135.5,61.3,71.8,1695,127.99,5370,5099,1930,1220,5450,1.955,33.48,517.23,147.84,25800.23,18.272,260,1423,1009,140.01,6190,20540.9,123
4-06-2020,237,1000,700,2108.1,1130,62,74.78,1690,128.25,5400,5199,1900,1194,5350,2.011,34.33,532,146.94,26072.77,18.712,268,1418,999.9,140.01,5925,20580.31,126.48
5-06-2020,248.8,1030.2,735,2330,1180.9,64.99,77.01,1727.9,130.21,5605,5398,1960,1200,5400,2.168,36.4,549,153,27132.94,18.834,275.04,1425,1046,147.67,6020,21447.26,130
8-06-2020,263,1072.1,745,2384,1215,65,78.28,1773,134.75,5740,5489.9,2004,1195,5640,2.316,36.95,562.75,157.58,27435.46,18.928,276.9,1450.4,1080,150,6336,22476.77,134.8
9-06-2020,267,1070,750.1,2435.2,1221.5,64.1,77.31,1765,130.02,5650,5600,2000,1216,5600,2.305,36.4,560,153.11,27252.86,18.834,290,1391.1,1086.9,148.5,6200,22262.98,136.5
10-06-2020,260.47,1069,735.63,2330.1,1200.5,62.52,77,1751,124.7,5600,5655,2060,1245,5650,2.158,35.51,547.22,148.52,26490.66,18.694,280,1402,1042.1,149.9,5950,21776.31,136.5
11-06-2020,245.79,1040.3,718.08,2221,1180.2,60.6,76,1710,127.4,5351,5560,2095,1253.1,5400,2.079,34.5,515.68,147.69,25891.08,17.944,280,1388,1045,148.5,5915,20343.86,129
12-06-2020,245,1061.2,699.85,2339,1150.6,60.31,75.89,1690,130.48,5700,5600,2095,1235,5400,2.146,34.7,520.06,148.99,26159.07,17.766,275.49,1380,1062,149.45,5955,20501.49,129.61
15-06-2020,256,1080,691.04,2381,1158.9,59,73,1681,125.1,5508,5500,2109,1242,5318,2.223,33.67,515,146,25391.42,17.335,273.3,1350,1062,150,5910,19752.76,123.52
16-06-2020,255.66,1050,699,2349.7,1165,59.01,74.8,1726,127.65,5580,5600,2100,1254.8,5280,2.131,34.32,531.21,145.81,25355.09,17.541,277,1355,1083.2,153.9,6054.3,20936.94,123
17-06-2020,250,1090,699,2435,1180,61.9,75.51,1770,128.7,5630,5502,2174,1273.6,5307.2,2.084,35.2,543,147.59,25528.6,17.794,270.2,1380,1125,151.46,6050,20915.27,123.61
18-06-2020,250,1085,680.26,2434,1179.3,61.3,75,1769.9,127.5,5700.2,5570,2170,1280,5190,2.057,34.86,540,146.31,25436.85,17.803,266.01,1379,1170,152.76,6153.9,20934.97,122.1
19-06-2020,255,1120,700,2510,1180,61.65,75.8,1775,126.1,5701,5505,2052.8,1251,5150,2.029,35.39,540,146.22,25400.51,18.637,266,1380,1182,154.5,6111,21475.83,126
22-06-2020,254.98,1097,699.28,2469,1199.9,61.73,75.53,1720.1,125.6,5700,5410,2061,1277.2,5300,2.032,34.8,530.62,146.13,25314.2,18.159,267,1440,1149,153,6210,21043.34,125.48
23-06-2020,264,1099.6,683.81,2510,1180,61.74,76.65,1689,129,5795,5397.4,2072.1,1275,5480,2.011,34.88,540,147.25,25710.29,17.841,271.99,1480,1163,152.52,6260,20937.92,127.01
24-06-2020,267,1101,675,2580,1200,62.88,75.5,1727,130,5794,5350.1,2060,1271,5450,2.039,34.3,537,147.9,25646.7,17.831,272,1446.1,1215,151.1,6225,20737.93,127.01
25-06-2020,272,1126.5,715,2595.1,1200,62.47,74.21,1724,133,5762.5,5407.1,2072,1300,5400,2.049,34.13,541.03,147.35,25582.2,17.785,280.59,1490,1200,152.45,6150.7,20797.04,126.11
26-06-2020,270,1120,706,2591.1,1180,62.93,73,1690,131.5,5700,5280,2027,1272.5,5310.5,2.012,33.76,536,145.84,25730.28,17.335,275,1460,1190,151.45,5955,21053.19,123.82
29-06-2020,270,1120,706,2591.1,1180,62.93,73,1690,131.5,5700,5280,2027,1272.5,5310.5,2.012,33.76,536,145.84,25730.28,17.335,275,1460,1190,151.45,5955,21053.19,123.82
30-06-2020,267,1099,704.84,2600,1179.9,61.4,72.5,1632,131,5510,5300,2010,1277.9,5320,2.056,33.6,540.13,146.99,25346.91,17.635,278.2,1490,1150,151.75,5915,21053.19,124
