Date,KIMBERA.MF.Equity,GAPB.MF.Equity,CEMEXCPO.MF.Equity,ASURB.MF.Equity,GFNORTEO.MF.Equity,KOFUBL.MF.Equity,ACa.MF.Equity,VOLARA.MF.Equity,LABB.MF.Equity,FEMSAUBD.MF.Equity,OMAB.MF.Equity,GFINBURO.MF.Equity,AMXL.MF.Equity,ALSEAa.MF.Equity,ORBIAa.MF.Equity,PE&OLESa.MF.Equity,GRUMAB.MF.Equity,RA.MF.Equity,WALMEXa.MF.Equity,BOLSAA.MF.Equity,LIVEPOLC.MF.Equity,CUERVOa.MF.Equity,ELEKTRAa.MF.Equity,SITES1.MF.Equity,MEGACPO.MF.Equity,Qa.MF.Equity,GCCa.MF.Equity,BIMBOA.MF.Equity,GMEXICOB.MF.Equity,GCARSOA1.MF.Equity,TLEVICPO.MF.Equity,VESTAa.MF.Equity,ALFAA.MF.Equity,PINFRAa.MF.Equity
29-01-2020,39.99,237.2,7.95,371.42,115.74,115.76,107.55,23.82,21.56,174.37,143.42,23.43,16.12,45.92,46.98,196.43,208.08,111.07,56.07,42.27,98.66,34.59,1391.97,14,73.4,79.51,99.55,34.01,53.29,70.63,44.54,34.89,11.49,206.77
30-01-2020,39.93,237.38,7.83,369.15,116.04,115.78,107.5,24.36,22,173.54,144.82,23.01,16.05,45.76,46.35,205.12,204.86,108.62,56.2,42.77,97.68,34.69,1397.11,14.06,73.31,81.52,98.02,34.07,51.84,69.91,42.28,34.55,11.47,206.36
31-01-2020,38.97,233.54,7.6,363.07,116.09,114.94,107.01,24.65,22.38,170.37,143.87,21.49,15.69,45.76,44.21,197.37,200.8,108.21,54.85,43.52,99.84,35.04,1383.14,13.9,70.31,84.92,97.92,33.81,50.46,68.13,41.83,34.62,11.41,203.86
3-02-2020,38.97,233.54,7.6,363.07,116.09,114.94,107.01,24.65,22.38,170.37,143.87,21.49,15.69,45.76,44.21,197.37,200.8,108.21,54.85,43.52,99.84,35.04,1383.14,13.9,70.31,84.92,97.92,33.81,50.46,68.13,41.83,34.62,11.41,203.86
4-02-2020,39.01,239.19,7.93,366.19,116.39,117.47,109.14,24.4,22.44,174.35,144.67,22.6,15.97,45.87,46.8,200.05,204.11,110.84,56.64,43.37,98.39,35.9,1377.08,14.16,70.51,89.33,98.7,34.34,54.19,69.3,42.37,35.39,11.46,204.45
5-02-2020,38.88,240.22,7.75,372.7,116.07,118.02,107.47,23.81,22.11,175.54,144.05,22.24,15.89,46.24,46.87,196.19,203.37,109.37,56.12,42.84,96.52,35.83,1376.23,13.98,72.88,86.37,97.59,33.98,53.33,66.75,40.95,34.85,11.33,202.76
6-02-2020,38.96,240.7,7.76,371.03,115.9,119.03,107.8,24.27,21.9,176.02,144.91,21.66,15.7,46.09,46.56,194.12,203.54,107.4,55.24,43.37,94.33,34.85,1369.63,13.84,70.94,88.16,94.39,33.18,52.43,66.03,40.48,34.28,11.02,205.34
7-02-2020,38.47,241.87,7.79,366.41,113.94,120.28,107.93,24.01,20.94,176.11,144.31,22.11,15.61,45.24,46.14,194.06,204.29,108.51,56.03,42.86,94,33.97,1396.45,13.89,71.65,88.78,96.46,33.26,51.95,65.94,40.11,34.06,10.8,203.5
10-02-2020,38.53,238.52,7.73,367.71,113.97,120.17,107.02,23.96,20.83,176.62,144.12,22.28,15.38,45.38,45.65,193.58,203.16,109.09,56.13,43.67,93.76,34.33,1403.69,13.97,72.46,87.5,97.14,32.95,51.98,66.25,39.88,33.99,10.87,201.56
11-02-2020,41.24,246.21,8.02,380.63,115.07,120.94,107.43,24.12,20.9,178.83,148.87,22.56,15.72,45.77,45.63,197.11,203.01,113.23,56.31,42.97,94.49,34.12,1403.17,14.49,70.91,91.08,99.45,33.9,52.62,69.41,41.44,34.53,11.28,206.19
12-02-2020,40.27,242.65,7.67,375.99,117.12,119.96,105.9,24.68,21.18,178.33,151.33,23.22,16.65,45.98,45.32,194.62,207.08,116.59,56.26,42.84,96.01,34.32,1394.76,15.12,72.02,94.74,99.56,33.94,51.68,69.53,42.49,34.13,11.3,203.97
13-02-2020,39.08,240.81,7.28,365.74,116.03,119.13,104.99,24.77,21.77,177.6,152.97,23.23,16.64,45.9,44.33,192.4,203.43,119.23,57.27,43.63,95.52,33.85,1388.61,15.44,73.71,95.08,98.99,33.74,51.49,66.75,41.57,34.36,10.65,202.61
14-02-2020,39.36,241.59,7.15,369.09,114.96,119.65,110.78,24.62,21.74,176.87,150.05,23.19,16.64,45.89,45.05,194.61,204.78,117,58.18,43.85,93.66,33.42,1392.79,15.88,72.23,96.06,98.56,32.93,52.13,66.46,41.64,34.25,9.99,204.03
17-02-2020,40.06,242.6,7.16,369.26,116.89,118.43,110.18,24.13,21.62,176.28,150.1,23.11,16.45,43.08,45.55,192.36,203.04,116.11,58.32,44.44,94.22,34.2,1391.37,15.52,73.33,96.51,98.89,32.9,52.31,66.56,41.23,34.04,10.2,203.84
18-02-2020,39.31,240.15,7,364.85,115.96,119.51,110.07,24.79,22.1,176.75,154.23,22.9,16.54,41.89,45.1,194.29,204.53,117.56,58.32,44.03,94.12,33.39,1394.05,15.45,72.16,94.57,99.93,32.42,52.39,66.09,41.73,34.14,10.19,204.01
19-02-2020,39.04,244.08,6.95,369.67,116.54,119.27,110.43,24.72,21.96,176.45,155.36,22.61,16.68,42.41,44.96,196.51,204.41,116.97,56.13,44.84,93.86,33.72,1401.09,15.11,71.9,94.98,97.82,31.73,51.16,66.58,42.52,34.01,10.93,205.51
20-02-2020,38.83,246.65,7,368.62,116.09,117.34,111.45,24.9,21.94,177.28,154.53,22.15,16.46,42.83,43.43,193.1,202.6,117.1,57.65,45,92.43,34.04,1384.78,15.56,70.11,90.5,95.6,30.9,50.3,66.48,42.84,33.67,10.68,204.12
21-02-2020,38.54,243.01,7.1,375.05,115.32,121.02,110.04,24.85,22.01,173.26,156.83,22,16.56,43.91,42.38,194.18,202.08,114.95,58.83,45.77,92.63,34,1376.75,15.9,69.88,93.73,99.42,32.12,49.94,65.56,43.05,33.48,10.59,205.02
